7043.1.permissive	571	Clade Ⅰ
7047.5.permissive	493	Clade Ⅰ
7053.5.permissive	544	Clade Ⅱ
7055.11.strict	561	Clade Ⅱ
7059.10.permissive	517	Clade Ⅱ
7097.8.permissive	575	Clade Ⅰ
7099.10.strict	571	Clade Ⅰ
7101.1.strict	575	Clade Ⅰ
7103.6.permissive	574	Clade Ⅱ
7107.6.permissive	562	Clade Ⅰ
7113.9.orig	542	Clade Ⅱ
89544.3.strict	589	Clade Ⅰ
89552.6.permissive	570	Clade Ⅰ
89566.4.permissive	585	Clade Ⅰ
GCF_000008205.1_ASM820v1_genomic	580	Clade Ⅰ
GCF_000008225.1_ASM822v1_genomic	578	Clade Ⅰ
GCF_000008405.1_ASM840v1_genomic	579	Clade Ⅰ
GCF_000183185.1_ASM18318v1_genomic	580	Clade Ⅰ
GCF_000400855.1_ASM40085v1_genomic	581	Clade Ⅰ
GCF_000427215.1_ASM42721v1_genomic	584	Clade Ⅱ
GCF_002193015.1_ASM219301v1_genomic	581	Clade Ⅰ
GCF_002213485.1_ASM221348v1_genomic	560	Clade Ⅱ
GCF_004768725.1_ASM476872v1_genomic	589	Clade Ⅰ
GCF_007923985.1_ASM792398v1_genomic	577	Clade Ⅱ
GCF_009831855.1_ASM983185v1_genomic	584	Clade Ⅰ
GCF_009831895.1_ASM983189v1_genomic	579	Clade Ⅱ
GCF_009831905.1_ASM983190v1_genomic	571	Clade Ⅰ
GCF_009831945.1_ASM983194v1_genomic	579	Clade Ⅱ
GCF_009832035.1_ASM983203v1_genomic	571	Clade Ⅰ
GCF_009832075.1_ASM983207v1_genomic	569	Clade Ⅱ
GCF_009832085.1_ASM983208v1_genomic	575	Clade Ⅰ
GCF_009832125.1_ASM983212v1_genomic	580	Clade Ⅱ
GCF_009832175.1_ASM983217v1_genomic	578	Clade Ⅰ
GCF_013402755.1_ASM1340275v1_genomic	584	Clade Ⅰ
GCF_013412725.1_ASM1341272v1_genomic	573	Clade Ⅱ
