ID	X168L.3D.1_host_sorted	X168L.3D.2_host_sorted	X168L.3D.3_host_sorted	X168L.3D.4_host_sorted	X168L.3D.5_host_sorted	LH.1A_host_sorted	LH.2A_host_sorted	LH.3A_host_sorted	LH.3D.1_host_sorted	LH.3D.2_host_sorted	LH.3D.3_host_sorted	LH.3D.4_host_sorted	LH.4A_host_sorted	NC.1A_host_sorted	NC.2A_host_sorted	NC.3A_host_sorted	NC.4A_host_sorted
MIA3	24.0877010859198	27.5849867132841	20.6921501693815	23.6350464234758	23.2084490723279	7.13464128579748	5.80930687815132	7.95722018851305	23.0681830275436	24.6725727448195	23.3545543747566	26.9162073306656	5.69757876229734	5.99047595810446	6.21727644279436	6.40411968276963	6.15999874323201
NFATC1	3.32752194631053	2.0710899840938	1.82749004298344	2.20196345459535	2.18381831658162	0.301172896252238	0.125159380791728	0.26799667001571	2.67978170762719	3.25125932774215	5.15505803769507	4.2083260929885	0.155956534170274	0.121690572106046	0.0969595393354877	0.143823522372054	0.077307513802682
NFKBIZ	260.617067150779	212.365058001906	218.163038829605	183.343462799539	211.048205606585	41.2413328406433	28.3393034997225	29.2640484803994	165.168546741813	178.54272718525	172.698703657018	192.235342037216	32.0051250979782	30.3828116406565	33.5394620926348	31.6072484911953	28.6655872136183
PIK3R1	47.506039229671	46.4337323906398	44.3978685840926	26.578627695358	41.9983717598759	8.42998349775493	6.47480312605488	7.55382103728968	30.7587362989753	36.215465638347	33.7205795951007	41.3585016996845	5.42929705479507	5.69880348108713	5.31724871750536	6.71084818960434	5.79721340698608
RB1	16.851240768919	17.0621355518884	15.703851529618	14.5169434215432	15.0581336001766	3.69972838491284	4.47262743957022	3.93403801105157	14.293351134426	15.4552707450771	14.8990936657717	19.0936908660562	4.35617122265843	4.48508132068003	4.56674817763579	4.18191738933388	4.19026465036178
SFRP1	17.8626292148354	17.4297447008144	12.5380717301616	6.54321868396055	11.1914702568722	0	0.189550202378793	0.153573596826553	21.4223565319072	29.2354863732835	50.0907446892339	59.4349199250465	0.166269375224756	0.119543866126253	0.168908414468851	0.182185063556578	0.110751310414606
STAT5B	15.9300181750345	13.5521122622774	10.5015015240575	11.6308580429567	13.1186676237818	2.27364190017272	2.24613136251015	2.79422402721586	9.71597637277046	10.640068505312	9.81330515929766	11.7077308555305	2.08469425503039	2.17844893032903	1.81385766371394	1.91198349043954	2.0785962754628
TGFBR3	21.1507978476122	28.761860666564	20.3794621776055	18.0675532566379	15.7720848193107	1.41738358654304	1.91624892743585	1.79806190854618	19.0601516394831	20.7006308843777	27.3373479144994	30.1120216367125	1.5082738913205	1.80289459637467	1.52823096003566	2.09860234814365	1.86047167382002
TIMP1	256.503688231562	202.696494193426	175.351569446627	228.189426283321	197.647336059149	15.9666063818829	11.4334218307221	10.0133535965521	197.146113778762	230.711271324648	144.602657659272	168.846397637818	5.67718612400367	6.71933268330454	5.7655990579267	13.7022424349572	10.1615927757864
ZBTB16	29.9761172780611	31.4557506587313	21.5963059647667	20.010156554215	19.9403062588717	1.51422790519068	0.825165456301502	0.822715697285104	24.9523938664332	24.3664032156368	24.8700445447279	32.9440903661758	0.568284971750327	0.300567434831722	0.34924672164612	0.736176379269438	0.687449205359234
AQP1	213.004692023884	242.680242493856	189.271048339114	87.9796387463102	113.72305930462	0	0	0.0190053265237398	139.582516053928	179.027589571059	244.991694882732	311.941524665479	0	0.010848944880485	0	0	0.0226147399059045
